"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"001142019";"00114-2019";"Objeto: Envio e recepção de mensagens curtas (SMS   Short Message Service).";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25207";"Serviço Federal de Processamento de Dados";"806030";"SERPRO - SEDE - BRASILIA";"BRASILIA";"01/01/1900";"";"49998,96"
"000572018";"PE.GS.A.0057.2018";"Objeto: Pregão Eletrônico -  Tubos de alumínio 6'' IPS SCH 80.";"Pregão";"Publicado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"910811";"FURNAS CENTRAIS ELETRICAS S/A";"RIO DE JANEIRO";"07/01/2019";"17/01/2019";"0,00"
"000032019";"60310000541201801";"Objeto: Contratação de pessoa jurídica especializada na prestação de serviços de capacitação para aquisição de 1 (uma) vaga na Global Food Safty Conference (GFSI), a ser realizado na cidade de Nice, França.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"BRASILIA";"01/01/1900";"";"5385,87"
"111002018";"4105-1200/2017";"Objeto: Pregão Eletrônico -  A presente licitação tem por objeto a AQUISIÇÃO DE VÁLVULAS PARA NEUROLOGIA   PLS Nº 149/2017  EXCLUSIVO ME E EPP";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"94720";"Estado das Alagoas";"925998";"AGENCIA DE MODERNIZACAO DA GEST. DE PROCESSOS";"Inválido";"01/01/1900";"30/01/2019";"0,00"
"000032019";"23272000021201949";"Objeto: Revisão e conserto de 01 compressor de ar e revisão elétrica da sala do COPAT.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26433";"Instituto Federal de Educação, Ciência e Tecn";"158483";"INST.FED.DO RJ/CAMPUS NILOPOLIS";"NILOPOLIS";"01/01/1900";"";"16722,44"
"000052018";"23243024255201848";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para operacionalização de estúdio de TV do Instituto Federal de Rondônia, Campus Porto Velho Zona Norte, para transmissão de programas educativos em banda satelital e produção de vídeos com conteúdos audiovisuais educacionais para veiculação em banda satelital da contratante, no portal e canal web do IFRO, em outros canais da internet, intranet, redes sociais existentes e que ainda venham a ser criadas e em eventos internos e externos da i";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26421";"Instituto Federal de Educação, Ciência e Tecn";"158532";"INST.FED.RONDÔNIA/CAMPUS P. VELHO ZONA NORTE";"PORTO VELHO";"07/01/2019";"17/01/2019";"49500,00"
"000022019";"21038000009201981";"Objeto: Contratação de empresa especializada no serviço de locação de 01(uma) central privada de comutação telefônica   CPCT com tecnologia temporal digital, incluindo instalação (implantação) e manutenção do equipamento com substituição de partes ou componentes, pelo período de 06 (seis)  meses.";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130021";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PI";"TERESINA";"01/01/1900";"";"3960,00"
"000082019";"264009/004/2019";"Objeto: Aquisição de material elétrico/eletrônico.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"37201";"Fundação Jorge Duprat Figueiredo, de Seguranç";"264009";"FUNDACENTRO - FUND.JORGE DUPRAT/CEES - ES";"VITORIA";"01/01/1900";"";"240,00"
"000062019";"06000490603/2018";"Objeto: Pregão Eletrônico -  Aquisição regular de medicamentos não-padronizados na SES-DF, por sistema de registro de preços, para atendimento a decisões judiciais, conforme especificações e quantitativos constantes no Anexo I do Edital.";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"97400";"Distrito Federal";"926119";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"Inválido";"01/01/1900";"01/02/2019";"1040,64"
"000092019";"23116000249201931";"Objeto: Aquisição de medicamentos diversos (Colestiramina, Loperamida, Vitaminas e Clorpromazina).";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26273";"Universidade Federal do Rio Grande";"150218";"UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG";"RIO GRANDE";"01/01/1900";"";"1528,00"
"000732018";"23063004049201814";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada, para prestação de serviços contínuos, com dedicação exclusiva de mão de obra, de limpeza, conservação e higienização de áreas internas e externas com fornecimento de mão de obra, uniformes, equipamentos, utensílios, equipamentos de proteção individual e materiais de consumo destinados a limpeza das instalações prediais do Campus Angra dos Reis do CEFET/RJ.";"Pregão";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26256";"Centro Federal de Educação Tecnológica Celso ";"153010";"CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA";"RIO DE JANEIRO";"02/01/2019";"28/01/2019";"272348,86"
"000042019";"08220000166201961";"Informação protegida por sigilo nos termos da legislação vigente";"Dispensa de Licitação";"Encerrado";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Departamento de Polícia Federal";"200380";"SUPERINTENDÊNCIA REGIONAL NO ESTADO DO AC";"RIO BRANCO";"01/01/1900";"";"4920,00"
"000042019";"64151000399201904";"Objeto: Atender as necessidades do 4 BPE, no tocante a aquisição de Refletores Led.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160180";"4 BATALHAO DE POLICIA DO EXERCITO";"RECIFE";"01/01/1900";"";"1490,00"
"000032019";"10167100203201974";"Objeto: Aquisição de 6 cabos de 6 metros com p10-p10 mono; e um cabo de 03 metros sendo a ponta de p10 mono e a outra de p2 para uso em notebook.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170531";"SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF/DF";"BRASILIA";"01/01/1900";"28/01/2019";"317,98"
"000052019";"64658008618201811";"Objeto: Contratação do serviço para atender as necessidades da PMPA com relação ao suprimento de energia elétrica para o desenvolvimento de suas atividades durante o ano de 2019.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160400";"POLICLINICA MILITAR DE PORTO ALEGRE";"PORTO ALEGRE";"18/01/2019";"";"432241,65"
"000022019";"23080074419201898";"Objeto: Pregão Eletrônico -  Registro de Preços para eventual aquisição de materiais de manutenção (mecânica), para o HU/UFSC.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26246";"Universidade Federal de Santa Catarina";"150232";"HOSPITAL UNIVERSITáRIO - UFSC";"FLORIANOPOLIS";"15/01/2019";"04/02/2019";"120,00"
"000032019";"60585002397201818";"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de gêneros alimentícios (fruta, legume, verdura e café).";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52000";"Ministério da Defesa - Unidades com vínculo d";"110404";"DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD";"BRASILIA";"29/01/2019";"08/02/2019";"19105,56"
"000022019";"67532004983201853";"Objeto: Pregão Eletrônico -  Serviço de Instalação e Fornecimento de Porta Acústica Metálica para o CIAAR";"Pregão";"Publicado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120636";"GRUPAMENTO DE APOIO DE LAGOA SANTA";"LAGOA SANTA";"11/01/2019";"23/01/2019";"453000,00"
"000042019";"23112004374201870";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de viagem e turismo para a realização das disciplinas RTB 1 e 2";"Pregão";"Publicado";"26000";"Ministério da Educação";"26280";"Fundação Universidade Federal de São Carlos";"154049";"FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO CARLOS";"SAO CARLOS";"23/01/2019";"04/02/2019";"43589,00"
"000012019";"DISPENSA-001/2019";"Objeto: Contratação de fornecimento de gás natural.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"764100";"SERVICO DE IDENTIFICACAO DA MARINHA";"RIO DE JANEIRO";"01/01/1900";"";"1440,00"
"000022019";"2019DL000002-FE";"Objeto: Aquisição de 2.000(dois mil) Corpos e Tampa de Petardo MD4";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168008";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FE";"MAGE";"01/01/1900";"";"5860,00"
"000122018";"64317028185201873";"Objeto: Contratação de serviços educacionais de ensino fundamental na modalidade inclusiva.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160219";"COMANDO 5A REGIAO MILITAR";"CURITIBA";"22/02/2019";"";"6116,52"
"000412018";"64582013364201876";"Objeto: Pregão Eletrônico -  Contratação de empresa(s) para prestação de serviços de enfermagem (Enfermeiros e Técnicos de Enfermagem) para o Hospital Militar de Área de Porto Alegre - HMAPA.";"Pregão";"Evento de Suspensão Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160399";"HOSPITAL MILITAR DE AREA DE PORTO ALEGRE";"PORTO ALEGRE";"07/01/2019";"12/02/2019";"0,00"
"000042019";"47648000054/2019";"Objeto: Prestação de Serviço de Fornecimento de Energia elétrica e taxa de iluminação pública.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"37201";"Fundação Jorge Duprat Figueiredo, de Seguranç";"264009";"FUNDACENTRO - FUND.JORGE DUPRAT/CEES - ES";"VITORIA";"01/01/1900";"";"10000,00"
"000012019";"00100019652201827";"Objeto: Contratação de curso de formação e capacitação de pregoeiro com prática no portal de compras do governo federal, fornecido pela empresa Profª Antonieta Cursos e Capacitação Profissional LTDA, que ocorrerá na data de 28 a 30 de janeiro de 2019, das 08:00 às 12:30rs e das 13:30 às 16:00hs, no total de 21 horas, no Hotel St. Paul Plaza - Setor Hoteleiro Sul - SHS, Quadra 02, Bloco 'H' - Asa Sul - Brasília - DF.";"Dispensa de Licitação";"Encerrado";"20000";"Presidência da República";"24208";"Instituto Nacional de Tecnologia da Informaçã";"243001";"INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI";"BRASILIA";"01/01/1900";"";"4260,00"
"001832018";"710112/2018-86";"Objeto: Pregão Eletrônico -  Implantação de sistema registro de preços, com vigência de seis meses, para aquisição parcelada, conforme necessidade, de papel higiênico na cor branca, folha simples, não reciclado. O objeto atenderá o Complexo Hospital de Clínicas da UFPR, conforme especificações detalhadas em edital e anexos.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153808";"HOSPITAL DE CLINICAS DA UFPR";"CURITIBA";"04/01/2019";"18/01/2019";"62790,00"
"001012018";"219";"Objeto: Pregão Eletrônico -  Registros de preços para aquisição de selos mecânicos para estoque do almoxarifado.";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"926641";"SERVIÇO AUTONOMO DE ÁGUA E ESGOTO DE JACAREI";"Inválido";"01/01/1900";"22/01/2019";"0,00"
"000022019";"2/2019";"Objeto: Contratação de serviço de transporte de pessoal";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160428";"2 REGIMENTO DE CAVALARIA MECANIZADO";"SAO BORJA";"01/01/1900";"";"6968,50"
"000222018";"80845015228201839";"Objeto: Pregão Eletrônico -  Atendimento pré-hospitalar e inter-hospitalar móvel";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160223";"HOSPITAL GERAL DE CURITIBA";"CURITIBA";"30/01/2019";"11/02/2019";"0,00"
"000032019";"21053000043201968";"Objeto: Contratação da empresa Seguradora Líder dos Consórcios do Seguro DPVAT S.A, para pagamento do DPVAT dos veículos oficiais do Lanagro-SP.";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130102";"LABORATORIO FEDERAL DE DEFESA AGROPECUáRIA/SP";"CAMPINAS";"01/01/1900";"";"320,02"
"000012019";"CESC-SAD/004/2019";"Objeto: Pagamento de fatura telefonia fixa OI, referente ao período de janeiro/2019, até que se regularize o processo de adesão à ata de registro de preço (001/2018)";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"37201";"Fundação Jorge Duprat Figueiredo, de Seguranç";"264011";"FUNDACENTRO - FUND.JORGE DUPRAT/CESC - SC";"FLORIANOPOLIS";"01/01/1900";"";"1392,62"
"000092019";"6700.37535/2018";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços de locação de equipamentos de som, iluminação, palcos e outros, incluindo montagem, utilização, desmontagem, manutenção, e apoio logístico, para a realização de eventos";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"94720";"Estado das Alagoas";"926703";"AGENCIA MUNICIPAL DE REG. DE SERV. DELEGADOS";"Inválido";"01/01/1900";"11/02/2019";"145000,00"
"000122019";"64550000259201925";"Objeto: Credenciamento de profissional de saúde autónomo para o ano de 2019.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160229";"15 GRUPO DE ART DE CAMPANHA AUTOPROPULSADO";"LAPA";"01/01/1900";"";"6000,00"
"000012019";"0003";"Objeto: Contrato fornecimento de água e coleta de esgoto 2019";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160365";"HOSPITAL DE GUARNICAO DE BAGE";"BAGE";"01/01/1900";"";"7044,23"
"000832018";"23765004185201812";"Objeto: Pregão Eletrônico -  Sistema de Registro de preço (SRP), para aquisição de Materiais Médico-Hospitalares (clipes de polímero, com cessão em regime de comodato de clipadores, válvulas de neurocirurgia, brocas de trepanação com cessão em comodato de motor completo, escovas de degermação, máscaras de ventilação Rendell-Baker, seringa, escova biliar, agulhas hipodérmicas, capa para microscópio cirúrgico, papel para eletrocardiógrafo, faixas de smarch, histerômetro, kit para drenagem mediastinal, etc.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155903";"EBSERH HU-UFJF";"JUIZ DE FORA";"17/01/2019";"29/01/2019";"0,00"
"000052019";"23208000097201948";"Objeto: Serviço de levantamento planialtimétrico do Campus Conselheiro Lafaiete para o IFMG.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"158122";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"BELO HORIZONTE";"01/01/1900";"";"7932,96"
"000042019";"2189/2018";"Objeto: Pregão Eletrônico -  Constitui objeto desta licitação, a prestação de serviços de publicação de avisos de licitações e outros no  Diário Oficial da União  e em  Jornais de Grande Circulação no Estado de Minas Gerais , para atendimento das necessidades do Senac em Minas, conforme especificações constantes no Edital e seus anexos.";"Pregão";"Evento de Alteração Divulgado";"38000";"Ministério do Trabalho e Emprego";"38000";"Ministério do Trabalho e Emprego - Unidades c";"389511";"SENAC - ADMINISTRACAO REGIONAL EM M. GERAIS";"LANDRI SALES";"01/01/1900";"16/01/2019";"50605,00"
"000012019";"23809000004201914";"Objeto: Seguro Obrigatório DPVAT do veículo do Campus Lafaiete.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26409";"Instituto Federal de Educação, Ciência e Tecn";"158122";"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS";"BELO HORIZONTE";"01/01/1900";"";"16,15"
"000022019";"23051034138201840";"Objeto: Aquisição de material de consumo para manutenção de backup dos serviços na garantia de manutenção dos seviços disponibilizados pelo IFPA a toda comunidade.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26416";"Instituto Federal de Educação, Ciência e Tecn";"158135";"INST.FED.DE EDUC.,CIENC.E TEC.DO PARA";"BELEM";"01/01/1900";"";"7000,00"
"009022019";"SOLEMP Nº4/2019";"Objeto: Serviço de publicação na Imprensa Nacional";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"791181";"CENTRO DE INTEND. DA MARINHA EM S.PEDRO DA AL";"SAO PEDRO DA ALDEIA";"01/01/1900";"";"4220,00"
"000012019";"23063004103201813";"Objeto: Etiqueta protetora eletromagnética";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26256";"Centro Federal de Educação Tecnológica Celso ";"153010";"CENTRO FED.DE EDUC.TECNOL.CELSO S.DA FONSECA";"RIO DE JANEIRO";"01/01/1900";"08/01/2019";"930,00"
"000012019";"02009003440201800";"Objeto: Aquisição de 12 (doze) refis e 10 (dez) pares de torneiras para filtro IBBL modelo FR 600, com a finalidade de atendimento da Superintendência do IBAMA no Estado do Espírito Santo - SUPES/ES.";"Dispensa de Licitação";"Encerrado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193107";"IBAMA - SUPERINTENDENCIA DO ESPIRITO SANTO/ES";"VITORIA";"01/01/1900";"07/01/2019";"653,22"
"000072019";"23537000008201931";"Objeto: Aquisição de Tubo de Coleta para Sangue a Vácuo.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26443";"Empresa Brasileira de Serviços Hospitalares";"155021";"EBSERH HU-UFMG";"BELO HORIZONTE";"01/01/1900";"";"49470,00"
"000032018";"23249001596201895";"Objeto: Pregão Eletrônico -  Registro de Preço para futuras e eventuais contratações de serviços de manutenção preventiva e corretiva de aparelhos de ar condicionados do IFMA Campus Zé Doca e demais órgãos participantes";"Pregão - Registro de Preço";"Evento de Alteração Publicado";"26000";"Ministério da Educação";"26408";"Instituto Federal de Educação, Ciência e Tecn";"158289";"INST.FED.DO MARANHAO/CAMPUS ZE DOCA";"ZE DOCA";"24/01/2019";"12/02/2019";"0,00"
"900152018";"PE.CSG.A.90015";"Objeto: Pregão Eletrônico -  Fornecimento de Veículo Aéreo Não Tripulado (VANT), tipo DRONE de Asa Fixa - Para entrega em Aparecida de Goiânia - GO.";"Pregão";"Evento de Suspensão Publicado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"926130";"DIVISÃO DE CENTRO DE SERV COMPRATILHADOS BSB";"Inválido";"18/01/2019";"28/02/2019";"0,00"
"000042019";"23533001395201882";"Objeto: Aquisição de Detergente Neutro e Sabonete Líquido";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26233";"Universidade Federal do Ceará";"150246";"MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND";"FORTALEZA";"04/02/2019";"";"64380,00"
"000012019";"13558720021201917";"Objeto: Contratação de empresa especializada na realização de serviços de manutenção predial de baixa complexidade, conforme condições, quantidades e exigências estabelecidas no termo de referência anexo ao processo, a serem realizados no prédio-sede da Delegacia da Receita Federal em Itabuna-BA.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170327";"DELEGACIA DA RFB EM ITABUNA";"ITABUNA";"01/01/1900";"";"10140,00"
"000082019";"300.935-7/18";"Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de materiais de consumo de manutenção e conservação predial do TCE-RJ, conforme condições, quantidades e especificações contidas no TERMO DE REFERÊNCIA   ANEXO I do edital.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95320";"Estado do Rio de Janeiro";"925464";"TRIBUNAL DE CONTAS DO ESTADO DO R. DE JANEIRO";"Inválido";"01/01/1900";"31/01/2019";"0,00"
"000092019";"070589/2018-72";"Objeto: Pregão Eletrônico -  Aquisição de materiais de consumo de uso comum para o Almoxarifado Central da Universidade Federal do Paraná.";"Pregão - Registro de Preço";"Publicado";"26000";"Ministério da Educação";"26241";"Universidade Federal do Paraná";"153079";"UNIVERSIDADE FEDERAL DO PARANA";"CURITIBA";"31/01/2019";"14/02/2019";"0,00"
"006392019";"23522000639201758";"Objeto: Reconhecimento de dívida ao FUNDO DE IMPRENSA NACIONAL.";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26271";"Fundação Universidade de Brasília";"154040";"FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"BRASILIA";"30/01/2019";"";"290185,35"
"001662019";"PL.CSM.A.0166.19";"Objeto: Aquisição de Indicador Digital para uso na Usina de Furnas, situada no município de São José da Barra. A ENTREGA DEVERA SER O MAIS RÁPIDO POSSÍVEL, CONSIDERANDO NO MÁXIMO 25 DIAS APOS A AUTORIZAÇÃO DE FORNECIMENTO ENCAMINHADA.";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"926132";"DIVISÃO DE CENTRO DE SERV COMPARTILHADOS MG";"Inválido";"01/01/1900";"28/01/2019";"12350,00"
"000072019";"04600000146201965";"Objeto: Contratação de docente para instrutoria do curso 'Construção de Cenários Prospectivos', no período de 18/02 a 01/03/2019, no horário das 08h30 às 12h30 e das 14h às 18h e livre, na Enap.";"Inexigibilidade de Licitação";"Encerrado";"25000";"Ministério da Economia";"20202";"Fundação Escola Nacional de Administração Púb";"114702";"FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"BRASILIA";"01/01/1900";"";"6970,00"
"000022019";"11080100062201911";"Objeto: Prestação de serviço de lavagem externa e interna, ecológicas, com aspiração e secagem para os veículos pertencentes à frota oficial das unidades da SRFB,SAMF/RS,PRFN 4ªR e SPU/RS.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo";"170175";"SUPERINTENDêNCIA DE ADMINISTRAçãO DO MF/RS";"PORTO ALEGRE";"01/01/1900";"";"7510,00"
"000192018";"23051021148201815";"Objeto: Pregão Eletrônico -  Aquisição de Equipamentos para atendimento do Núcleo de Almoxarifado do Instituto Federal de Educação, Ciência e Tecnologia do Pará - Campus Castanhal 'IFPA - Campus Castanhal'";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26416";"Instituto Federal de Educação, Ciência e Tecn";"158308";"INST.FED.DO PARÁ/CAMPUS CASTANHAL";"CASTANHAL";"30/01/2019";"11/02/2019";"940,00"
"000052018";"64667005733201817";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada de transporte rodoviário.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160358";"6 REGIMENTO DE CAVALARIA BLINDADO";"ALEGRETE";"18/01/2019";"05/02/2019";"52560,00"
"006952018";"23127000869/18-61";"Objeto: Aquisição do medicamento metildopa de 500 mg.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26254";"Universidade Federal do Triângulo Mineiro";"150221";"HOSPITAL DE CLÍNICAS DA UFTM";"UBERABA";"01/01/1900";"";"1160,00"
"000152018";"23222000886201810";"Objeto: Pregão Eletrônico -  Concessão onerosa de espaço público destinado à instalação de cantina (lanchonete)";"Pregão";"Publicado";"26000";"Ministério da Educação";"26411";"Instituto Federal de Educação, Ciência e Tecn";"158412";"INST FED SUDESTE DE MG/CAMPUS RIO POMBA";"RIO POMBA";"18/01/2019";"30/01/2019";"1500,00"
"000012019";"23172000009201962";"Objeto: PAGAMENTO DE PUBLICAÇÕES DOS ATOS ADMINISTRATIVOS do Instituto Federal de Educação, Ciência e Tecnologia do Piauí   IFPI e demais Campi, no Diário Oficial da União   D.O.U. / Imprensa Nacional, durante o exercício de 2016, conforme legislação prevista no inciso XXXIII do art. 5º, no inciso II do . 3º do art. 37 e no . 2ª do art. 216 da Constituição Federal.";"Inexigibilidade de Licitação";"Publicado";"26000";"Ministério da Educação";"26431";"Instituto Federal de Educação, Ciência e Tecn";"158146";"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI";"TERESINA";"28/01/2019";"";"600000,00"
"000062018";"21809.000024/2018";"Objeto: Pregão Eletrônico -  Aquisição de materiais classificados como insumos agrícolas  como: fertilizantes, inseticidas e ferramental para atender aos trabalhos desenvolvidos  nas estações de pesquisa da CEPLAC/SUPAM, CEPLAC/SUROM e CEPLAC/SUBES.";"Pregão - Registro de Preço";"Publicado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22000";"Ministério da Agricultura, Pecuária e Abastec";"130126";"SUPERINT.REG.DE DESENV.DA LAV.CACAUEIRA/PA";"BELEM";"25/01/2019";"07/02/2019";"0,00"
"000012019";"64039000416201938";"Objeto: Pregão Eletrônico -  Aquisição de adesivos.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160339";"1º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO";"CAICO";"18/01/2019";"07/02/2019";"54834,00"
"000012019";"67267012215201851";"Objeto: Manutenção de autorefrator";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52111";"Comando da Aeronáutica";"120633";"GRUPAMENTO DE APOIO DE SÃO PAULO";"SAO PAULO";"01/01/1900";"";"14075,00"
"000022019";"23096000260201987";"Objeto: Contratação de Empresa especializada em serviço de manutenção predial para executar serviços de manutenção com substituição de material nas edificações prediais do Hospital Veterinário do CSTR";"Dispensa de Licitação";"Publicado";"26000";"Ministério da Educação";"26252";"Universidade Federal de Campina Grande";"158199";"CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG";"PATOS";"15/01/2019";"";"15999,50"
"000202019";"63446001712201864";"Objeto: Pregão Eletrônico -  Fornecimento de Gás Liquefeito de Petróleo (GLP), acondicionado em botijão de 45 Kg (P45), conforme especificações constantes no Termo de Referência anexo ao edital.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"795500";"BASE DE FUZILEIROS NAVAIS DO RIO MERITI";"DUQUE DE CAXIAS";"04/01/2019";"16/01/2019";"195048,00"
"001912019";"PL.CSM.A.00191.19";"Objeto: Ração para alimentar larvas, alevinos e reprodutores de peixes de piracema,'Entrega Fracionada/Parcelada'.";"Dispensa de Licitação";"Encerrado";"32000";"Ministério de Minas e Energia";"91081";"Empresas de Energia";"926132";"DIVISÃO DE CENTRO DE SERV COMPARTILHADOS MG";"Inválido";"01/01/1900";"31/01/2019";"30820,00"
"000022019";"230785296891899";"Objeto: Pregão Eletrônico -  Fornecimento, entrega e abastecimento de combustível óleo diesel para os grupos geradores pertencentes a UFRGS, localizados em seus diversos campi, na forma de atendimento de chamados";"Pregão";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26244";"Universidade Federal do Rio Grande do Sul";"153114";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL";"PORTO ALEGRE";"15/01/2019";"28/01/2019";"471648,00"
"004872018";"2018/0008548-0";"Objeto: Pregão Eletrônico -  AQUISIÇÃO MILRINONA LACTATO 1 MG/ML 10 ML PARA AS UNIDADES DA AUTARQUIA HOSPITALAR MUNICIPAL. Srs. Licitantes, favor se atentarem ao Descritivo do Objeto - Anexo I do Edital.";"Pregão";"Divulgado";"99900";"República Federativa do Brasil";"95420";"Estado de São Paulo";"925104";"PMSP - AUTARQUIA HOSPITALAR MUNICIPAL";"Inválido";"01/01/1900";"12/02/2019";"0,00"
